
 num     #instances         #bytes  class name
 485:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$12
 486:             1             24  [Lorg.ucsd.db.bsmagen1M.diffs.FastViewFanout$ALIAS;
 487:             1             24  java.util.logging.LogManager$SystemLoggerContext
 488:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$3
 489:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$13
 490:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$4
 491:             1             24  sun.misc.URLClassPath$FileLoader
 492:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$14
 493:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$5
 494:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$15
 495:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$6
 496:             1             24  java.util.logging.LoggingPermission
 497:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$7
 498:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$16
 499:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$8
 500:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$17
 501:             1             24  sun.launcher.LauncherHelper
 502:             1             24  [Ljava.util.Locale$Category;
 503:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$18
 504:             1             24  java.util.Date
 505:             1             24  sun.nio.ch.Util$BufferCache
 506:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$9
 507:             1             24  [Lsun.launcher.LauncherHelper;
 508:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$19
 509:             1             24  sun.management.ThreadImpl
 510:             1             24  java.lang.StringBuffer
 511:             1             24  net.sf.ehcache.pool.sizeof.JvmInformation$20
 512:             1             24  org.eclipse.jdt.internal.jarinjarloader.JarRsrcLoader$ManifestInfo
 513:             1             24  net.sf.ehcache.pool.sizeof.FlyweightType$10
 514:             1             16  org.slf4j.helpers.SubstituteLoggerFactory
 515:             1             16  java.lang.reflect.Proxy$ProxyClassFactory
 516:             1             16  [Ljava.lang.Enum;
 517:             1             16  java.lang.management.PlatformComponent$9
 518:             1             16  sun.misc.ASCIICaseInsensitiveComparator
